Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2009 01:00,1,1,4,1,0,2.8,93,0,0,0,2.99501e+07,6.69644e+06,0.0
01/01/2009 02:00,1,1,4,2,0,2.8,93,0,0,0,2.99501e+07,6.69644e+06,0.0
01/01/2009 03:00,1,1,4,3,0,2.2,96,0,0,0,2.99501e+07,6.69644e+06,0.0
01/01/2009 04:00,1,1,4,4,0,1.7,92,0,0,0,2.99501e+07,6.69644e+06,0.0
01/01/2009 05:00,1,1,4,5,0,1.7,96,0,0,0,2.99501e+07,6.69644e+06,0.0
01/01/2009 06:00,1,1,4,6,0,1.1,96,0,0,0,2.99501e+07,6.69644e+06,0.0
01/01/2009 07:00,1,1,4,7,0,1.7,92,0,0,0,3.60309e+07,6.69644e+06,0.0
01/01/2009 08:00,1,1,4,8,0,1.1,96,0,1.00214e+08,971103,9.13528e+07,1.0691e+08,100214000.0
01/01/2009 09:00,1,1,4,9,0,6.7,83,0,4.09375e+07,2.30807e+06,9.26898e+07,4.76339e+07,40937500.0
01/01/2009 10:00,1,1,4,10,0,10.6,72,0,7.37651e+07,752641,1.10085e+08,8.04616e+07,73765100.0
01/01/2009 11:00,1,1,4,11,0,12.8,51,0,7.64227e+06,3.39708e+06,2.1716e+08,1.43387e+07,7642270.0
01/01/2009 12:00,1,1,4,12,0,14.4,44,0,0,1.01756e+07,2.23938e+08,6.69644e+06,0.0
01/01/2009 13:00,1,1,4,13,0,16.7,40,0,2.16458e+07,1.83152e+07,3.01698e+08,2.83422e+07,21645800.0
01/01/2009 14:00,1,1,4,14,0,17.2,33,0,2.27774e+07,2.20115e+07,3.05395e+08,2.94738e+07,22777400.0
01/01/2009 15:00,1,1,4,15,0,16.7,31,0,2.03892e+07,2.40872e+07,3.0747e+08,2.70857e+07,20389200.0
01/01/2009 16:00,1,1,4,16,0,16.7,31,0,2.12382e+07,2.4215e+07,3.07598e+08,2.79346e+07,21238200.0
01/01/2009 17:00,1,1,4,17,0,15,38,0,3.67256e+07,1.49377e+07,2.98321e+08,4.3422e+07,36725600.0
01/01/2009 18:00,1,1,4,18,0,11.7,49,0,7.53351e+07,0,2.30843e+08,8.20315e+07,75335100.0
01/01/2009 19:00,1,1,4,19,0,7.2,71,0,3.1012e+07,0,1.61223e+08,3.77085e+07,31012000.0
01/01/2009 20:00,1,1,4,20,0,6.1,76,0,0,0,4.2109e+07,6.69644e+06,0.0
01/01/2009 21:00,1,1,4,21,0,6.7,68,0,0,0,3.60309e+07,6.69644e+06,0.0
01/01/2009 22:00,1,1,4,22,0,4.4,82,0,0,0,3.60309e+07,6.69644e+06,0.0
01/01/2009 23:00,1,1,4,23,0,5,73,0,0,0,3.60309e+07,6.69644e+06,0.0
01/02/2009 00:00,1,2,5,0,0,3.3,86,0,0,0,3.60309e+07,6.69644e+06,0.0
01/02/2009 01:00,1,2,5,1,0,5,76,0,0,0,3.07227e+07,6.69644e+06,0.0
01/02/2009 02:00,1,2,5,2,0,2.2,89,0,0,0,3.07227e+07,6.69644e+06,0.0
01/02/2009 03:00,1,2,5,3,0,3.3,79,0,0,0,3.07227e+07,6.69644e+06,0.0
01/02/2009 04:00,1,2,5,4,0,2.8,82,0,0,0,3.07227e+07,6.69644e+06,0.0
01/02/2009 05:00,1,2,5,5,0,2.2,82,0,0,0,3.07227e+07,6.69644e+06,0.0
01/02/2009 06:00,1,2,5,6,0,1.1,85,0,9.2309e+07,1.46577e+06,1.0362e+08,9.90055e+07,92309000.0
01/02/2009 07:00,1,2,5,7,0,1.7,82,0,4.27819e+07,785379,1.0902e+08,4.94783e+07,42781900.0
01/02/2009 08:00,1,2,5,8,0,2.2,85,0,2.16492e+08,0,1.42116e+08,2.23188e+08,216492000.0
01/02/2009 09:00,1,2,5,9,0,5.6,73,0,1.16499e+08,0,2.13763e+08,1.23195e+08,116499000.0
01/02/2009 10:00,1,2,5,10,0,8.3,58,0,7.69847e+06,2.61313e+06,3.87337e+08,1.43949e+07,7698470.0
01/02/2009 11:00,1,2,5,11,0,10,54,0,5.31588e+06,4.72966e+06,3.89453e+08,1.20123e+07,5315880.0
01/02/2009 12:00,1,2,5,12,0,12.2,53,0,3.97716e+06,8.17944e+06,3.92903e+08,1.06736e+07,3977160.0
01/02/2009 13:00,1,2,5,13,0,13.9,53,0,4.66152e+07,2.07939e+07,4.05518e+08,5.33116e+07,46615200.0
01/02/2009 14:00,1,2,5,14,0,13.3,57,0,5.11974e+07,2.47056e+07,4.09429e+08,5.78938e+07,51197400.0
01/02/2009 15:00,1,2,5,15,0,13.9,58,0,4.31981e+07,3.79668e+07,4.22691e+08,4.98945e+07,43198100.0
01/02/2009 16:00,1,2,5,16,0,13.3,62,0,4.95815e+07,3.68148e+07,4.21539e+08,5.6278e+07,49581500.0
01/02/2009 17:00,1,2,5,17,0,12.2,69,0,6.04334e+07,2.69867e+07,4.11711e+08,6.71298e+07,60433400.0
01/02/2009 18:00,1,2,5,18,0,11.1,80,0,7.03663e+07,1.64675e+07,4.18272e+08,7.70627e+07,70366300.0
01/02/2009 19:00,1,2,5,19,0,10.6,83,0,3.09661e+06,0,2.68744e+08,9.79305e+06,3096610.0
01/02/2009 20:00,1,2,5,20,0,10.6,86,0,6.64491e+06,0,2.65654e+08,1.33414e+07,6644910.0
01/02/2009 21:00,1,2,5,21,0,11.7,83,0,421606,0,2.59576e+08,7.11805e+06,421606.0
01/02/2009 22:00,1,2,5,22,0,11.7,90,0,0,0,8.67012e+07,6.69644e+06,0.0
01/02/2009 23:00,1,2,5,23,0,12.2,86,0,0,0,3.68034e+07,6.69644e+06,0.0
01/03/2009 00:00,1,3,6,0,0,11.7,90,0,0,0,3.68034e+07,6.69644e+06,0.0
01/03/2009 01:00,1,3,6,1,0,11.7,93,0,0,0,3.07227e+07,6.69644e+06,0.0
01/03/2009 02:00,1,3,6,2,0,11.7,96,0,0,0,3.07227e+07,6.69644e+06,0.0
01/03/2009 03:00,1,3,6,3,0,12.8,93,0,0,0,3.07227e+07,6.69644e+06,0.0
01/03/2009 04:00,1,3,6,4,0,13.3,93,0,0,0,3.07227e+07,6.69644e+06,0.0
01/03/2009 05:00,1,3,6,5,0,13.9,97,0,0,0,3.07227e+07,6.69644e+06,0.0
01/03/2009 06:00,1,3,6,6,0,14.4,97,0,5.53393e+06,248586,4.43509e+07,1.22304e+07,5533930.0
01/03/2009 07:00,1,3,6,7,0,15,90,0,0,4.05728e+06,1.10266e+08,6.69644e+06,0.0
01/03/2009 08:00,1,3,6,8,0,15.6,87,0,6.29206e+06,460062,1.38524e+08,1.29885e+07,6292060.0
01/03/2009 09:00,1,3,6,9,0,15,81,0,0,0,2.13763e+08,6.69644e+06,0.0
01/03/2009 10:00,1,3,6,10,0,12.2,67,0,1.68243e+06,4.53226e+06,3.89256e+08,8.37887e+06,1682430.0
01/03/2009 11:00,1,3,6,11,0,12.2,57,0,2.38551e+06,1.08482e+07,3.95572e+08,9.08195e+06,2385510.0
01/03/2009 12:00,1,3,6,12,0,13.9,55,0,635538,3.76147e+07,4.22339e+08,7.33198e+06,635538.0
01/03/2009 13:00,1,3,6,13,0,13.3,57,0,5.12077e+07,3.22767e+07,4.17001e+08,5.79041e+07,51207700.0
01/03/2009 14:00,1,3,6,14,0,11.1,64,0,6.8789e+07,2.65092e+07,4.11233e+08,7.54854e+07,68789000.0
01/03/2009 15:00,1,3,6,15,0,9.4,74,0,8.34691e+07,2.03774e+07,4.05101e+08,9.01655e+07,83469100.0
01/03/2009 16:00,1,3,6,16,0,8.9,80,0,8.77675e+07,2.15521e+07,4.06276e+08,9.4464e+07,87767500.0
01/03/2009 17:00,1,3,6,17,0,8.9,80,0,8.83888e+07,1.84395e+07,4.03163e+08,9.50852e+07,88388800.0
01/03/2009 18:00,1,3,6,18,0,8.3,80,0,9.40877e+07,1.0841e+07,4.12646e+08,1.00784e+08,94087700.0
01/03/2009 19:00,1,3,6,19,0,8.3,71,0,8.2215e+06,0,2.68744e+08,1.49179e+07,8221500.0
01/03/2009 20:00,1,3,6,20,0,8.3,68,0,1.60967e+07,0,2.65654e+08,2.27932e+07,16096700.0
01/03/2009 21:00,1,3,6,21,0,8.3,68,0,4.96524e+06,0,2.59576e+08,1.16617e+07,4965240.0
01/03/2009 22:00,1,3,6,22,0,8.3,66,0,0,0,8.67012e+07,6.69644e+06,0.0
01/03/2009 23:00,1,3,6,23,0,7.8,63,0,0,0,3.68034e+07,6.69644e+06,0.0
01/04/2009 00:00,1,4,0,0,0,7.2,66,0,0,0,3.68034e+07,6.69644e+06,0.0
01/04/2009 01:00,1,4,0,1,0,6.7,68,0,0,0,3.07227e+07,6.69644e+06,0.0
01/04/2009 02:00,1,4,0,2,0,7.2,66,0,0,0,3.07227e+07,6.69644e+06,0.0
01/04/2009 03:00,1,4,0,3,0,5,76,0,0,0,3.07227e+07,6.69644e+06,0.0
01/04/2009 04:00,1,4,0,4,0,5.6,73,0,0,0,3.07227e+07,6.69644e+06,0.0
01/04/2009 05:00,1,4,0,5,0,5,70,0,0,0,3.07227e+07,6.69644e+06,0.0
01/04/2009 06:00,1,4,0,6,0,3.9,76,0,4.66975e+07,0,5.74129e+07,5.33939e+07,46697500.0
01/04/2009 07:00,1,4,0,7,0,4.4,73,0,1.98221e+07,2.3341e+06,1.10569e+08,2.65185e+07,19822100.0
01/04/2009 08:00,1,4,0,8,0,3.9,76,0,1.42951e+08,0,1.41103e+08,1.49648e+08,142951000.0
01/04/2009 09:00,1,4,0,9,0,4.4,73,0,1.12024e+08,0,2.13763e+08,1.1872e+08,112024000.0
01/04/2009 10:00,1,4,0,10,0,5,70,0,1.10131e+07,2.28472e+06,3.87009e+08,1.77095e+07,11013100.0
01/04/2009 11:00,1,4,0,11,0,6.7,65,0,5.72664e+06,5.24503e+06,3.89969e+08,1.24231e+07,5726640.0
01/04/2009 12:00,1,4,0,12,0,7.8,63,0,7.8437e+06,1.06432e+07,3.95367e+08,1.45401e+07,7843700.0
01/04/2009 13:00,1,4,0,13,0,8.3,61,0,9.39481e+07,1.46852e+07,3.99409e+08,1.00645e+08,93948100.0
01/04/2009 14:00,1,4,0,14,0,9.4,56,0,7.99477e+07,2.60194e+07,4.10743e+08,8.66441e+07,79947700.0
01/04/2009 15:00,1,4,0,15,0,9.4,59,0,7.95255e+07,3.06762e+07,4.154e+08,8.62219e+07,79525500.0
01/04/2009 16:00,1,4,0,16,0,10,57,0,7.48773e+07,3.48598e+07,4.19584e+08,8.15738e+07,74877300.0
01/04/2009 17:00,1,4,0,17,0,8.9,63,0,8.56984e+07,2.60617e+07,4.10786e+08,9.23948e+07,85698400.0
01/04/2009 18:00,1,4,0,18,0,6.7,74,0,1.07617e+08,3.94266e+06,4.05747e+08,1.14313e+08,107617000.0
01/04/2009 19:00,1,4,0,19,0,5,83,0,2.30625e+07,0,2.68744e+08,2.97589e+07,23062500.0
01/04/2009 20:00,1,4,0,20,0,4.4,86,0,2.71576e+07,0,2.65654e+08,3.3854e+07,27157600.0
01/04/2009 21:00,1,4,0,21,0,3.3,89,0,1.3831e+07,2.05164e+06,2.61627e+08,2.05275e+07,13831000.0
01/04/2009 22:00,1,4,0,22,0,3.9,86,0,0,0,8.67012e+07,6.69644e+06,0.0
01/04/2009 23:00,1,4,0,23,0,3.9,89,0,0,0,3.68034e+07,6.69644e+06,0.0
01/05/2009 00:00,1,5,1,0,0,3.3,93,0,0,0,3.68034e+07,6.69644e+06,0.0
01/05/2009 01:00,1,5,1,1,0,2.2,93,0,0,0,3.07227e+07,6.69644e+06,0.0
01/05/2009 02:00,1,5,1,2,0,1.1,96,0,0,0,3.07227e+07,6.69644e+06,0.0
01/05/2009 03:00,1,5,1,3,0,1.1,96,0,0,0,3.07227e+07,6.69644e+06,0.0
01/05/2009 04:00,1,5,1,4,0,1.1,92,0,0,0,3.07227e+07,6.69644e+06,0.0
01/05/2009 05:00,1,5,1,5,0,0.6,92,0,0,0,3.07227e+07,6.69644e+06,0.0
01/05/2009 06:00,1,5,1,6,0,-0.6,96,0,5.04754e+07,0,7.23266e+07,5.71718e+07,50475400.0
01/05/2009 07:00,1,5,1,7,0,0.6,96,0,3.40607e+07,2.17895e+06,1.10414e+08,4.07572e+07,34060700.0
01/05/2009 08:00,1,5,1,8,0,1.7,92,0,2.01774e+08,0,1.41103e+08,2.0847e+08,201774000.0
01/05/2009 09:00,1,5,1,9,0,4.4,89,0,1.08422e+08,135326,2.13898e+08,1.15118e+08,108422000.0
01/05/2009 10:00,1,5,1,10,0,6.7,80,0,6.44432e+06,2.90036e+06,3.87624e+08,1.31408e+07,6444320.0
01/05/2009 11:00,1,5,1,11,0,9.4,66,0,3.65313e+06,1.10255e+07,3.95749e+08,1.03496e+07,3653130.0
01/05/2009 12:00,1,5,1,12,0,11.1,55,0,4.34933e+06,1.98708e+07,4.04595e+08,1.10458e+07,4349330.0
01/05/2009 13:00,1,5,1,13,0,12.8,49,0,5.11806e+07,3.46121e+07,4.19336e+08,5.78771e+07,51180600.0
01/05/2009 14:00,1,5,1,14,0,13.9,44,0,4.13024e+07,4.5652e+07,4.30376e+08,4.79989e+07,41302400.0
01/05/2009 15:00,1,5,1,15,0,13.9,47,0,4.11001e+07,4.79777e+07,4.32702e+08,4.77965e+07,41100100.0
01/05/2009 16:00,1,5,1,16,0,14.4,48,0,3.78414e+07,5.05106e+07,4.35234e+08,4.45378e+07,37841400.0
01/05/2009 17:00,1,5,1,17,0,13.3,55,0,4.84798e+07,4.20468e+07,4.26771e+08,5.51763e+07,48479800.0
01/05/2009 18:00,1,5,1,18,0,10.6,72,0,7.33775e+07,2.24721e+07,4.07196e+08,8.00739e+07,73377500.0
01/05/2009 19:00,1,5,1,19,0,10,77,0,4.82971e+06,1.03855e+06,2.69782e+08,1.15262e+07,4829710.0
01/05/2009 20:00,1,5,1,20,0,8.9,86,0,1.40261e+07,0,2.65654e+08,2.07226e+07,14026100.0
01/05/2009 21:00,1,5,1,21,0,8.9,83,0,3.2741e+06,0,2.59576e+08,9.97054e+06,3274100.0
01/05/2009 22:00,1,5,1,22,0,8.3,86,0,0,0,8.67012e+07,6.69644e+06,0.0
01/05/2009 23:00,1,5,1,23,0,6.7,93,0,0,0,3.68034e+07,6.69644e+06,0.0
01/06/2009 00:00,1,6,2,0,0,5,96,0,0,0,3.68034e+07,6.69644e+06,0.0
01/06/2009 01:00,1,6,2,1,0,7.8,96,0,0,0,3.07227e+07,6.69644e+06,0.0
01/06/2009 02:00,1,6,2,2,0,8.9,93,0,0,0,3.07227e+07,6.69644e+06,0.0
01/06/2009 03:00,1,6,2,3,0,9.4,93,0,0,0,3.07227e+07,6.69644e+06,0.0
01/06/2009 04:00,1,6,2,4,0,8.9,93,0,0,0,3.07227e+07,6.69644e+06,0.0
01/06/2009 05:00,1,6,2,5,0,8.3,96,0,0,0,3.07227e+07,6.69644e+06,0.0
01/06/2009 06:00,1,6,2,6,0,8.3,96,0,1.46443e+07,521336,5.5995e+07,2.13408e+07,14644300.0
01/06/2009 07:00,1,6,2,7,0,8.3,96,0,5.87976e+06,2.78478e+06,1.08588e+08,1.25762e+07,5879760.0
01/06/2009 08:00,1,6,2,8,0,8.3,96,0,5.11534e+07,0,1.41103e+08,5.78499e+07,51153400.0
01/06/2009 09:00,1,6,2,9,0,10.6,93,0,1.06936e+07,1.54681e+06,2.15309e+08,1.73901e+07,10693600.0
01/06/2009 10:00,1,6,2,10,0,12.8,83,0,809067,6.66185e+06,3.91386e+08,7.50551e+06,809067.0
01/06/2009 11:00,1,6,2,11,0,16.1,72,0,6.50267e+06,1.4156e+07,3.9888e+08,1.31991e+07,6502670.0
01/06/2009 12:00,1,6,2,12,0,18.9,63,0,790812,4.03098e+07,4.18956e+08,7.48725e+06,790812.0
01/06/2009 13:00,1,6,2,13,0,20,61,0,1.24958e+06,5.86265e+07,4.4335e+08,7.94602e+06,1249580.0
01/06/2009 14:00,1,6,2,14,0,21.1,57,0,0,6.63976e+07,4.45043e+08,6.69644e+06,0.0
01/06/2009 15:00,1,6,2,15,0,21.7,55,0,0,7.39965e+07,4.52642e+08,6.69644e+06,0.0
01/06/2009 16:00,1,6,2,16,0,20.6,57,0,0,7.3106e+07,4.51752e+08,6.69644e+06,0.0
01/06/2009 17:00,1,6,2,17,0,20,59,0,0,6.83398e+07,4.53064e+08,6.69644e+06,0.0
01/06/2009 18:00,1,6,2,18,0,17.8,73,0,1.52066e+07,5.60613e+07,4.40785e+08,2.19031e+07,15206600.0
01/06/2009 19:00,1,6,2,19,0,16.7,75,0,0,3.49954e+07,3.03739e+08,6.69644e+06,0.0
01/06/2009 20:00,1,6,2,20,0,15,87,0,0,1.73447e+07,2.82998e+08,6.69644e+06,0.0
01/06/2009 21:00,1,6,2,21,0,15,90,0,0,1.51679e+07,2.74743e+08,6.69644e+06,0.0
01/06/2009 22:00,1,6,2,22,0,13.9,93,0,0,0,8.67012e+07,6.69644e+06,0.0
01/06/2009 23:00,1,6,2,23,0,13.3,97,0,0,0,3.68034e+07,6.69644e+06,0.0
01/07/2009 00:00,1,7,3,0,0,12.8,100,0,0,0,3.68034e+07,6.69644e+06,0.0
01/07/2009 01:00,1,7,3,1,0,12.8,100,0,0,0,2.99501e+07,6.69644e+06,0.0
01/07/2009 02:00,1,7,3,2,0,12.8,100,0,0,0,2.99501e+07,6.69644e+06,0.0
01/07/2009 03:00,1,7,3,3,0,12.8,100,0,0,0,2.99501e+07,6.69644e+06,0.0
01/07/2009 04:00,1,7,3,4,0,12.8,100,0,0,0,2.99501e+07,6.69644e+06,0.0
01/07/2009 05:00,1,7,3,5,0,12.8,100,0,0,0,2.99501e+07,6.69644e+06,0.0
01/07/2009 06:00,1,7,3,6,0,12.8,100,0,0,0,3.40022e+07,6.69644e+06,0.0
01/07/2009 07:00,1,7,3,7,0,12.8,100,0,0,5.47038e+06,1.09894e+08,6.69644e+06,0.0
01/07/2009 08:00,1,7,3,8,0,13.3,97,0,9.04106e+06,0,1.0528e+08,1.57375e+07,9041060.0
01/07/2009 09:00,1,7,3,9,0,13.9,100,0,7.15203e+06,0,1.78952e+08,1.38485e+07,7152030.0
01/07/2009 10:00,1,7,3,10,0,15.6,97,0,0,7.88074e+06,2.91264e+08,6.69644e+06,0.0
01/07/2009 11:00,1,7,3,11,0,17.8,87,0,920456,3.11769e+07,4.15901e+08,7.6169e+06,920456.0
01/07/2009 12:00,1,7,3,12,0,18.3,87,0,445030,5.546e+07,4.38158e+08,7.14147e+06,445030.0
01/07/2009 13:00,1,7,3,13,0,20,81,0,0,7.45152e+07,4.59239e+08,6.69644e+06,0.0
01/07/2009 14:00,1,7,3,14,0,20.6,76,0,0,8.53474e+07,4.63993e+08,6.69644e+06,0.0
01/07/2009 15:00,1,7,3,15,0,20.6,76,0,0,8.69702e+07,4.65616e+08,6.69644e+06,0.0
01/07/2009 16:00,1,7,3,16,0,20.6,76,0,0,8.82367e+07,4.66882e+08,6.69644e+06,0.0
01/07/2009 17:00,1,7,3,17,0,19.4,81,0,2.2398e+06,8.23955e+07,4.67119e+08,8.93624e+06,2239800.0
01/07/2009 18:00,1,7,3,18,0,18.9,84,0,6.64658e+06,7.52866e+07,4.6001e+08,1.3343e+07,6646580.0
01/07/2009 19:00,1,7,3,19,0,18.3,87,0,0,4.20946e+07,3.07748e+08,6.69644e+06,0.0
01/07/2009 20:00,1,7,3,20,0,18.3,84,0,0,2.54567e+07,2.2149e+08,6.69644e+06,0.0
01/07/2009 21:00,1,7,3,21,0,17.2,90,0,0,1.52965e+07,2.05251e+08,6.69644e+06,0.0
01/07/2009 22:00,1,7,3,22,0,16.7,93,0,0,0,1.20335e+08,6.69644e+06,0.0
01/07/2009 23:00,1,7,3,23,0,16.1,93,0,0,0,3.60309e+07,6.69644e+06,0.0
01/08/2009 00:00,1,8,4,0,0,16.1,93,0,0,0,3.60309e+07,6.69644e+06,0.0
01/08/2009 01:00,1,8,4,1,0,15,97,0,0,0,2.99501e+07,6.69644e+06,0.0
01/08/2009 02:00,1,8,4,2,0,14.4,97,0,0,0,2.99501e+07,6.69644e+06,0.0
01/08/2009 03:00,1,8,4,3,0,13.9,97,0,0,0,2.99501e+07,6.69644e+06,0.0
01/08/2009 04:00,1,8,4,4,0,13.9,97,0,0,0,2.99501e+07,6.69644e+06,0.0
01/08/2009 05:00,1,8,4,5,0,13.9,97,0,0,0,2.99501e+07,6.69644e+06,0.0
01/08/2009 06:00,1,8,4,6,0,14.4,93,0,0,0,2.99501e+07,6.69644e+06,0.0
01/08/2009 07:00,1,8,4,7,0,14.4,93,0,0,0,3.60309e+07,6.69644e+06,0.0
01/08/2009 08:00,1,8,4,8,0,14.4,93,0,0,0,2.30023e+07,6.69644e+06,0.0
01/08/2009 09:00,1,8,4,9,0,14.4,93,0,0,6.72915e+06,9.71109e+07,6.69644e+06,0.0
01/08/2009 10:00,1,8,4,10,0,15,87,0,8.97832e+06,896233,1.10228e+08,1.56748e+07,8978320.0
01/08/2009 11:00,1,8,4,11,0,15.6,84,0,0,2.51233e+06,2.16275e+08,6.69644e+06,0.0
01/08/2009 12:00,1,8,4,12,0,16.7,78,0,0,5.23152e+06,2.18994e+08,6.69644e+06,0.0
01/08/2009 13:00,1,8,4,13,0,16.1,78,0,2.97554e+07,1.11098e+07,2.94493e+08,3.64519e+07,29755400.0
01/08/2009 14:00,1,8,4,14,0,17.2,73,0,2.01174e+07,2.53962e+07,3.08779e+08,2.68138e+07,20117400.0
01/08/2009 15:00,1,8,4,15,0,17.2,70,0,2.02471e+07,2.86418e+07,3.12025e+08,2.69435e+07,20247100.0
01/08/2009 16:00,1,8,4,16,0,17.2,70,0,2.03591e+07,3.069e+07,3.14073e+08,2.70555e+07,20359100.0
01/08/2009 17:00,1,8,4,17,0,17.2,73,0,2.06352e+07,3.13148e+07,3.14698e+08,2.73316e+07,20635200.0
01/08/2009 18:00,1,8,4,18,0,16.1,78,0,3.015e+07,1.00753e+07,2.23838e+08,3.68464e+07,30150000.0
01/08/2009 19:00,1,8,4,19,0,16.1,78,0,0,0,1.61223e+08,6.69644e+06,0.0
01/08/2009 20:00,1,8,4,20,0,15.6,78,0,0,0,3.60309e+07,6.69644e+06,0.0
01/08/2009 21:00,1,8,4,21,0,15,81,0,0,0,3.60309e+07,6.69644e+06,0.0
01/08/2009 22:00,1,8,4,22,0,15,81,0,0,0,3.60309e+07,6.69644e+06,0.0
01/08/2009 23:00,1,8,4,23,0,14.4,84,0,0,0,3.60309e+07,6.69644e+06,0.0
01/09/2009 00:00,1,9,5,0,0,14.4,84,0,0,0,3.60309e+07,6.69644e+06,0.0
01/09/2009 01:00,1,9,5,1,0,14.4,84,0,0,0,3.07227e+07,6.69644e+06,0.0
01/09/2009 02:00,1,9,5,2,0,14.4,87,0,0,0,3.07227e+07,6.69644e+06,0.0
01/09/2009 03:00,1,9,5,3,0,14.4,90,0,0,0,3.07227e+07,6.69644e+06,0.0
01/09/2009 04:00,1,9,5,4,0,13.9,97,0,0,0,3.07227e+07,6.69644e+06,0.0
01/09/2009 05:00,1,9,5,5,0,14.4,97,0,0,0,3.07227e+07,6.69644e+06,0.0
01/09/2009 06:00,1,9,5,6,0,15,97,0,0,0,3.47748e+07,6.69644e+06,0.0
01/09/2009 07:00,1,9,5,7,0,15,97,0,0,5.56147e+06,1.1177e+08,6.69644e+06,0.0
01/09/2009 08:00,1,9,5,8,0,16.1,97,0,7.23604e+06,1.822e+06,1.39886e+08,1.39325e+07,7236040.0
01/09/2009 09:00,1,9,5,9,0,16.7,97,0,0,3.10232e+06,2.16865e+08,6.69644e+06,0.0
01/09/2009 10:00,1,9,5,10,0,13.9,90,0,283855,6.24826e+06,3.90972e+08,6.98029e+06,283855.0
01/09/2009 11:00,1,9,5,11,0,12.8,90,0,1.87605e+06,1.14447e+07,3.96169e+08,8.57249e+06,1876050.0
01/09/2009 12:00,1,9,5,12,0,12.8,87,0,0,2.78186e+07,4.12542e+08,6.69644e+06,0.0
01/09/2009 13:00,1,9,5,13,0,13.3,83,0,5.13051e+07,3.66716e+07,4.21395e+08,5.80016e+07,51305100.0
01/09/2009 14:00,1,9,5,14,0,13.3,75,0,4.96535e+07,4.64463e+07,4.3117e+08,5.63499e+07,49653500.0
01/09/2009 15:00,1,9,5,15,0,12.8,72,0,5.26126e+07,5.04179e+07,4.35142e+08,5.9309e+07,52612600.0
01/09/2009 16:00,1,9,5,16,0,14.4,65,0,3.93388e+07,5.94811e+07,4.44205e+08,4.60353e+07,39338800.0
01/09/2009 17:00,1,9,5,17,0,13.3,62,0,4.91929e+07,5.06593e+07,4.35383e+08,5.58894e+07,49192900.0
01/09/2009 18:00,1,9,5,18,0,11.1,69,0,6.91425e+07,3.12141e+07,4.15938e+08,7.58389e+07,69142500.0
01/09/2009 19:00,1,9,5,19,0,10,71,0,3.37913e+06,4.32454e+06,2.73068e+08,1.00756e+07,3379130.0
01/09/2009 20:00,1,9,5,20,0,8.3,80,0,1.48242e+07,0,2.65654e+08,2.15207e+07,14824200.0
01/09/2009 21:00,1,9,5,21,0,7.8,83,0,7.87971e+06,0,2.59576e+08,1.45762e+07,7879710.0
01/09/2009 22:00,1,9,5,22,0,7.2,86,0,0,0,8.67012e+07,6.69644e+06,0.0
01/09/2009 23:00,1,9,5,23,0,6.7,89,0,0,0,3.68034e+07,6.69644e+06,0.0
01/10/2009 00:00,1,10,6,0,0,6.7,86,0,0,0,3.68034e+07,6.69644e+06,0.0
01/10/2009 01:00,1,10,6,1,0,6.7,86,0,0,0,3.07227e+07,6.69644e+06,0.0
01/10/2009 02:00,1,10,6,2,0,6.7,83,0,0,0,3.07227e+07,6.69644e+06,0.0
01/10/2009 03:00,1,10,6,3,0,6.1,86,0,0,0,3.07227e+07,6.69644e+06,0.0
01/10/2009 04:00,1,10,6,4,0,6.1,89,0,0,0,3.07227e+07,6.69644e+06,0.0
01/10/2009 05:00,1,10,6,5,0,6.7,83,0,0,0,3.07227e+07,6.69644e+06,0.0
01/10/2009 06:00,1,10,6,6,0,6.7,83,0,1.20365e+07,261782,5.76747e+07,1.87329e+07,12036500.0
01/10/2009 07:00,1,10,6,7,0,6.7,74,0,2.76158e+06,2.75688e+06,1.09776e+08,9.45802e+06,2761580.0
01/10/2009 08:00,1,10,6,8,0,6.1,71,0,7.52125e+07,0,1.42116e+08,8.1909e+07,75212500.0
01/10/2009 09:00,1,10,6,9,0,7.8,58,0,4.99287e+07,0,2.13763e+08,5.66251e+07,49928700.0
01/10/2009 10:00,1,10,6,10,0,7.2,54,0,8.18552e+06,3.85382e+06,3.88578e+08,1.4882e+07,8185520.0
01/10/2009 11:00,1,10,6,11,0,7.8,54,0,6.89381e+06,4.38456e+06,3.89108e+08,1.35902e+07,6893810.0
01/10/2009 12:00,1,10,6,12,0,8.3,46,0,1.04499e+07,4.89514e+06,3.89619e+08,1.71463e+07,10449900.0
01/10/2009 13:00,1,10,6,13,0,9.4,41,0,9.05937e+07,4.34223e+06,3.89066e+08,9.72901e+07,90593700.0
01/10/2009 14:00,1,10,6,14,0,10.6,35,0,7.27276e+07,1.85949e+07,4.03319e+08,7.9424e+07,72727600.0
01/10/2009 15:00,1,10,6,15,0,11.1,35,0,6.81594e+07,2.6684e+07,4.11408e+08,7.48558e+07,68159400.0
01/10/2009 16:00,1,10,6,16,0,11.1,37,0,6.91617e+07,2.80616e+07,4.12785e+08,7.58581e+07,69161700.0
01/10/2009 17:00,1,10,6,17,0,10.6,43,0,7.37457e+07,2.38774e+07,4.08601e+08,8.04421e+07,73745700.0
